source_task,arm,L,T,zeta,lam,N_c,R_index,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_unweighted_mean,gess_final,ess_cum_final,n_distinct_anc_final,brentq_fallbacks,result_path,exact_compatible
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,20,6.0,systematic,1168036,ok,1461.55,922,0.24040692663586027,0.24040692663586027,1.0,127.1555997906726,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00020.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,21,6.0,systematic,1168037,ok,1451.84,922,0.32127782289863105,0.32127782289863105,1.0,126.92241175047727,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00021.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,22,6.0,systematic,1168038,ok,1435.77,922,0.5956425657864985,0.5956425657864985,1.0,127.25660195657373,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00022.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,23,6.0,systematic,1168039,ok,1452.36,922,0.44234319876253847,0.44234319876253847,1.0,127.08094345629611,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00023.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,24,6.0,systematic,1168040,ok,1446.81,922,0.38959813691224804,0.38959813691224804,1.0,127.0986958460238,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00024.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,25,6.0,systematic,1168041,ok,1464.38,922,0.41581656538412953,0.41581656538412953,1.0,127.18980335696534,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00025.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,26,6.0,systematic,1168042,ok,1443.39,922,0.47812089307823047,0.47812089307823047,1.0,127.32851603200362,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00026.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,27,6.0,systematic,1168043,ok,1451.99,922,0.24961765447889944,0.24961765447889944,1.0,127.14393716564007,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00027.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,28,6.0,systematic,1168044,ok,1466.41,922,0.3675633842663405,0.3675633842663405,1.0,127.23755443314784,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00028.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,29,6.0,systematic,1168045,ok,1457.17,922,0.4182072208700818,0.4182072208700818,1.0,127.10833644091016,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00029.json,yes
