pack,start,count,est_sec
0,0,6,698.5
1,6,6,698.5
2,12,6,724.7
3,18,5,647.6
4,23,5,647.6
5,28,5,662.9
6,33,5,724.4
7,38,5,724.4
8,43,5,724.4
9,48,4,622.4
10,52,4,622.4
11,56,4,622.4
12,60,4,622.4
13,64,4,674.4
14,68,4,674.4
15,72,4,674.4
16,76,4,674.4
17,80,4,711.6
18,84,4,711.6
19,88,4,711.6
20,92,4,711.6
21,96,4,757.5
22,100,4,757.5
23,104,4,757.5
24,108,4,757.5
25,112,4,790.8
26,116,4,790.8
27,120,4,790.8
28,124,4,790.8
29,128,3,617.1
30,131,3,617.1
31,134,3,617.1
32,137,3,617.1
33,140,3,617.1
34,143,2,671.7
35,145,2,932.1
36,147,2,932.1
37,149,2,932.1
38,151,2,932.1
39,153,2,932.1
40,155,2,932.1
41,157,2,932.1
42,159,2,992.5
43,161,2,1052.9
44,163,2,1052.9
45,165,2,1052.9
46,167,2,1052.9
47,169,2,1052.9
48,171,2,1052.9
49,173,2,1052.9
50,175,2,1101.0
51,177,2,1149.1
52,179,2,1149.1
53,181,2,1149.1
54,183,2,1149.1
55,185,2,1149.1
56,187,2,1149.1
57,189,2,1149.1
58,191,2,1199.1
59,193,1,624.6
60,194,1,624.6
61,195,1,624.6
62,196,1,624.6
63,197,1,624.6
64,198,1,624.6
65,199,1,624.6
66,200,1,624.6
67,201,1,624.6
68,202,1,624.6
69,203,1,624.6
70,204,1,624.6
71,205,1,624.6
72,206,1,624.6
73,207,1,624.6
74,208,1,670.9
75,209,1,670.9
76,210,1,670.9
77,211,1,670.9
78,212,1,670.9
79,213,1,670.9
80,214,1,670.9
81,215,1,670.9
82,216,1,670.9
83,217,1,670.9
84,218,1,670.9
85,219,1,670.9
86,220,1,670.9
87,221,1,670.9
88,222,1,670.9
89,223,1,670.9
90,224,1,714.2
91,225,1,714.2
92,226,1,714.2
93,227,1,714.2
94,228,1,714.2
95,229,1,714.2
96,230,1,714.2
97,231,1,714.2
98,232,1,714.2
99,233,1,714.2
100,234,1,714.2
101,235,1,714.2
102,236,1,714.2
103,237,1,714.2
104,238,1,714.2
105,239,1,714.2
106,240,1,755.0
107,241,1,755.0
108,242,1,755.0
109,243,1,755.0
110,244,1,755.0
111,245,1,755.0
112,246,1,755.0
113,247,1,755.0
114,248,1,755.0
115,249,1,755.0
116,250,1,755.0
117,251,1,755.0
118,252,1,755.0
119,253,1,755.0
120,254,1,755.0
121,255,1,755.0
122,256,1,793.7
123,257,1,793.7
124,258,1,793.7
125,259,1,793.7
126,260,1,793.7
127,261,1,793.7
128,262,1,793.7
129,263,1,793.7
130,264,1,793.7
131,265,1,793.7
132,266,1,793.7
133,267,1,793.7
134,268,1,793.7
135,269,1,793.7
136,270,1,793.7
137,271,1,793.7
138,272,1,830.6
139,273,1,830.6
140,274,1,830.6
141,275,1,830.6
142,276,1,830.6
143,277,1,830.6
144,278,1,830.6
145,279,1,830.6
146,280,1,830.6
147,281,1,830.6
148,282,1,830.6
149,283,1,830.6
150,284,1,830.6
151,285,1,830.6
152,286,1,830.6
153,287,1,830.6
154,288,1,1377.0
155,289,1,1377.0
156,290,1,1377.0
157,291,1,1377.0
158,292,1,1377.0
159,293,1,1377.0
160,294,1,1377.0
161,295,1,1377.0
162,296,1,1377.0
163,297,1,1377.0
164,298,1,1377.0
165,299,1,1377.0
166,300,1,1377.0
167,301,1,1377.0
168,302,1,1377.0
169,303,1,1377.0
170,304,1,1554.4
171,305,1,1554.4
172,306,1,1554.4
173,307,1,1554.4
174,308,1,1554.4
175,309,1,1554.4
176,310,1,1554.4
177,311,1,1554.4
178,312,1,1554.4
179,313,1,1554.4
180,314,1,1554.4
181,315,1,1554.4
182,316,1,1554.4
183,317,1,1554.4
184,318,1,1554.4
185,319,1,1554.4
186,320,1,1713.5
187,321,1,1713.5
188,322,1,1713.5
189,323,1,1713.5
190,324,1,1713.5
191,325,1,1713.5
192,326,1,1713.5
193,327,1,1713.5
194,328,1,1713.5
195,329,1,1713.5
196,330,1,1713.5
197,331,1,1713.5
198,332,1,1713.5
199,333,1,1713.5
200,334,1,1713.5
201,335,1,1713.5
202,336,1,1868.5
203,337,1,1868.5
204,338,1,1868.5
205,339,1,1868.5
206,340,1,1868.5
207,341,1,1868.5
208,342,1,1868.5
209,343,1,1868.5
210,344,1,1868.5
211,345,1,1868.5
212,346,1,1868.5
213,347,1,1868.5
214,348,1,1868.5
215,349,1,1868.5
216,350,1,1868.5
217,351,1,1868.5
218,352,1,2002.9
219,353,1,2002.9
220,354,1,2002.9
221,355,1,2002.9
222,356,1,2002.9
223,357,1,2002.9
224,358,1,2002.9
225,359,1,2002.9
226,360,1,2002.9
227,361,1,2002.9
228,362,1,2002.9
229,363,1,2002.9
230,364,1,2002.9
231,365,1,2002.9
232,366,1,2002.9
233,367,1,2002.9
234,368,1,2128.8
235,369,1,2128.8
236,370,1,2128.8
237,371,1,2128.8
238,372,1,2128.8
239,373,1,2128.8
240,374,1,2128.8
241,375,1,2128.8
242,376,1,2128.8
243,377,1,2128.8
244,378,1,2128.8
245,379,1,2128.8
246,380,1,2128.8
247,381,1,2128.8
248,382,1,2128.8
249,383,1,2128.8
250,384,1,2247.6
251,385,1,2247.6
252,386,1,2247.6
253,387,1,2247.6
254,388,1,2247.6
255,389,1,2247.6
256,390,1,2247.6
257,391,1,2247.6
258,392,1,2247.6
259,393,1,2247.6
260,394,1,2247.6
261,395,1,2247.6
262,396,1,2247.6
263,397,1,2247.6
264,398,1,2247.6
265,399,1,2247.6
266,400,1,2367.9
267,401,1,2367.9
268,402,1,2367.9
269,403,1,2367.9
270,404,1,2367.9
271,405,1,2367.9
272,406,1,2367.9
273,407,1,2367.9
274,408,1,2367.9
275,409,1,2367.9
276,410,1,2367.9
277,411,1,2367.9
278,412,1,2367.9
279,413,1,2367.9
280,414,1,2367.9
281,415,1,2367.9
282,416,1,2475.3
283,417,1,2475.3
284,418,1,2475.3
285,419,1,2475.3
286,420,1,2475.3
287,421,1,2475.3
288,422,1,2475.3
289,423,1,2475.3
290,424,1,2475.3
291,425,1,2475.3
292,426,1,2475.3
293,427,1,2475.3
294,428,1,2475.3
295,429,1,2475.3
296,430,1,2475.3
297,431,1,2475.3
