pack,start,count,est_sec
0,0,58,610.1
1,58,45,609.6
2,103,39,605.2
3,142,18,614.7
4,160,15,617.0
5,175,14,624.6
6,189,13,622.6
7,202,12,607.2
8,214,12,635.7
9,226,11,613.7
10,237,11,639.2
11,248,11,657.9
12,259,10,620.1
13,269,10,640.3
14,279,10,691.6
15,289,6,645.4
16,295,6,645.4
17,301,6,687.0
18,307,5,607.2
19,312,5,607.2
20,317,5,632.1
21,322,5,669.4
22,327,5,669.4
23,332,5,681.5
24,337,5,729.9
25,342,5,729.9
26,347,5,729.9
27,352,4,625.9
28,356,4,625.9
29,360,4,625.9
30,364,4,625.9
31,368,4,665.2
32,372,4,665.2
33,376,4,665.2
34,380,4,665.2
35,384,4,702.4
36,388,4,702.4
37,392,4,702.4
38,396,4,702.4
39,400,4,740.0
40,404,4,740.0
41,408,4,740.0
42,412,4,740.0
43,416,4,773.5
44,420,4,773.5
45,424,4,773.5
46,428,4,773.5
