pack,start,count,est_sec
0,0,11,640.3
1,11,10,614.8
2,21,10,647.6
3,31,9,644.3
4,40,9,657.3
5,49,8,622.4
6,57,8,628.9
7,65,8,674.4
8,73,8,679.0
9,81,7,622.6
10,88,7,622.6
11,95,7,657.1
12,102,7,662.8
13,109,7,679.4
14,116,7,691.9
15,123,7,699.9
16,130,6,617.1
17,136,6,617.1
18,142,4,671.7
19,146,3,699.1
20,149,3,699.1
21,152,3,699.1
22,155,3,699.1
23,158,3,729.3
24,161,3,789.7
25,164,3,789.7
26,167,3,789.7
27,170,3,789.7
28,173,3,789.7
29,176,3,861.8
30,179,3,861.8
31,182,3,861.8
32,185,3,861.8
33,188,3,861.8
34,191,3,911.8
35,194,2,624.6
36,196,2,624.6
37,198,2,624.6
38,200,2,624.6
39,202,2,624.6
40,204,2,624.6
41,206,2,624.6
42,208,2,670.9
43,210,2,670.9
44,212,2,670.9
45,214,2,670.9
46,216,2,670.9
47,218,2,670.9
48,220,2,670.9
49,222,2,670.9
50,224,2,714.2
51,226,2,714.2
52,228,2,714.2
53,230,2,714.2
54,232,2,714.2
55,234,2,714.2
56,236,2,714.2
57,238,2,714.2
58,240,2,755.0
59,242,2,755.0
60,244,2,755.0
61,246,2,755.0
62,248,2,755.0
63,250,2,755.0
64,252,2,755.0
65,254,2,755.0
66,256,2,793.7
67,258,2,793.7
68,260,2,793.7
69,262,2,793.7
70,264,2,793.7
71,266,2,793.7
72,268,2,793.7
73,270,2,793.7
74,272,2,830.6
75,274,2,830.6
76,276,2,830.6
77,278,2,830.6
78,280,2,830.6
79,282,2,830.6
80,284,2,830.6
81,286,2,830.6
82,288,1,688.5
83,289,1,688.5
84,290,1,688.5
85,291,1,688.5
86,292,1,688.5
87,293,1,688.5
88,294,1,688.5
89,295,1,688.5
90,296,1,688.5
91,297,1,688.5
92,298,1,688.5
93,299,1,688.5
94,300,1,688.5
95,301,1,688.5
96,302,1,688.5
97,303,1,688.5
98,304,1,777.2
99,305,1,777.2
100,306,1,777.2
101,307,1,777.2
102,308,1,777.2
103,309,1,777.2
104,310,1,777.2
105,311,1,777.2
106,312,1,777.2
107,313,1,777.2
108,314,1,777.2
109,315,1,777.2
110,316,1,777.2
111,317,1,777.2
112,318,1,777.2
113,319,1,777.2
114,320,1,856.8
115,321,1,856.8
116,322,1,856.8
117,323,1,856.8
118,324,1,856.8
119,325,1,856.8
120,326,1,856.8
121,327,1,856.8
122,328,1,856.8
123,329,1,856.8
124,330,1,856.8
125,331,1,856.8
126,332,1,856.8
127,333,1,856.8
128,334,1,856.8
129,335,1,856.8
130,336,1,934.3
131,337,1,934.3
132,338,1,934.3
133,339,1,934.3
134,340,1,934.3
135,341,1,934.3
136,342,1,934.3
137,343,1,934.3
138,344,1,934.3
139,345,1,934.3
140,346,1,934.3
141,347,1,934.3
142,348,1,934.3
143,349,1,934.3
144,350,1,934.3
145,351,1,934.3
146,352,1,1001.4
147,353,1,1001.4
148,354,1,1001.4
149,355,1,1001.4
150,356,1,1001.4
151,357,1,1001.4
152,358,1,1001.4
153,359,1,1001.4
154,360,1,1001.4
155,361,1,1001.4
156,362,1,1001.4
157,363,1,1001.4
158,364,1,1001.4
159,365,1,1001.4
160,366,1,1001.4
161,367,1,1001.4
162,368,1,1064.4
163,369,1,1064.4
164,370,1,1064.4
165,371,1,1064.4
166,372,1,1064.4
167,373,1,1064.4
168,374,1,1064.4
169,375,1,1064.4
170,376,1,1064.4
171,377,1,1064.4
172,378,1,1064.4
173,379,1,1064.4
174,380,1,1064.4
175,381,1,1064.4
176,382,1,1064.4
177,383,1,1064.4
178,384,1,1123.8
179,385,1,1123.8
180,386,1,1123.8
181,387,1,1123.8
182,388,1,1123.8
183,389,1,1123.8
184,390,1,1123.8
185,391,1,1123.8
186,392,1,1123.8
187,393,1,1123.8
188,394,1,1123.8
189,395,1,1123.8
190,396,1,1123.8
191,397,1,1123.8
192,398,1,1123.8
193,399,1,1123.8
194,400,1,1183.9
195,401,1,1183.9
196,402,1,1183.9
197,403,1,1183.9
198,404,1,1183.9
199,405,1,1183.9
200,406,1,1183.9
201,407,1,1183.9
202,408,1,1183.9
203,409,1,1183.9
204,410,1,1183.9
205,411,1,1183.9
206,412,1,1183.9
207,413,1,1183.9
208,414,1,1183.9
209,415,1,1183.9
210,416,1,1237.6
211,417,1,1237.6
212,418,1,1237.6
213,419,1,1237.6
214,420,1,1237.6
215,421,1,1237.6
216,422,1,1237.6
217,423,1,1237.6
218,424,1,1237.6
219,425,1,1237.6
220,426,1,1237.6
221,427,1,1237.6
222,428,1,1237.6
223,429,1,1237.6
224,430,1,1237.6
225,431,1,1237.6
