pack,start,count,est_sec
0,0,21,627.6
1,21,18,609.7
2,39,17,637.2
3,56,15,606.2
4,71,14,601.7
5,85,14,631.2
6,99,13,615.5
7,112,13,642.5
8,125,12,611.1
9,137,10,709.5
10,147,6,699.1
11,153,6,699.1
12,159,5,643.0
13,164,5,658.1
14,169,5,658.1
15,174,5,694.1
16,179,5,718.2
17,184,5,718.2
18,189,5,743.2
19,194,4,624.6
20,198,4,624.6
21,202,4,624.6
22,206,4,647.7
23,210,4,670.9
24,214,4,670.9
25,218,4,670.9
26,222,4,692.5
27,226,4,714.2
28,230,4,714.2
29,234,4,714.2
30,238,4,734.6
31,242,4,755.0
32,246,4,755.0
33,250,4,755.0
34,254,4,774.3
35,258,4,793.7
36,262,4,793.7
37,266,4,793.7
38,270,3,604.5
39,273,3,623.0
40,276,3,623.0
41,279,3,623.0
42,282,3,623.0
43,285,3,623.0
44,288,2,688.5
45,290,2,688.5
46,292,2,688.5
47,294,2,688.5
48,296,2,688.5
49,298,2,688.5
50,300,2,688.5
51,302,2,688.5
52,304,2,777.2
53,306,2,777.2
54,308,2,777.2
55,310,2,777.2
56,312,2,777.2
57,314,2,777.2
58,316,2,777.2
59,318,2,777.2
60,320,2,856.8
61,322,2,856.8
62,324,2,856.8
63,326,2,856.8
64,328,2,856.8
65,330,2,856.8
66,332,2,856.8
67,334,2,856.8
68,336,2,934.3
69,338,2,934.3
70,340,2,934.3
71,342,2,934.3
72,344,2,934.3
73,346,2,934.3
74,348,2,934.3
75,350,2,934.3
76,352,2,1001.4
77,354,2,1001.4
78,356,2,1001.4
79,358,2,1001.4
80,360,2,1001.4
81,362,2,1001.4
82,364,2,1001.4
83,366,2,1001.4
84,368,2,1064.4
85,370,2,1064.4
86,372,2,1064.4
87,374,2,1064.4
88,376,2,1064.4
89,378,2,1064.4
90,380,2,1064.4
91,382,2,1064.4
92,384,2,1123.8
93,386,2,1123.8
94,388,2,1123.8
95,390,2,1123.8
96,392,2,1123.8
97,394,2,1123.8
98,396,2,1123.8
99,398,2,1123.8
100,400,2,1183.9
101,402,2,1183.9
102,404,2,1183.9
103,406,2,1183.9
104,408,2,1183.9
105,410,2,1183.9
106,412,2,1183.9
107,414,2,1183.9
108,416,1,618.8
109,417,1,618.8
110,418,1,618.8
111,419,1,618.8
112,420,1,618.8
113,421,1,618.8
114,422,1,618.8
115,423,1,618.8
116,424,1,618.8
117,425,1,618.8
118,426,1,618.8
119,427,1,618.8
120,428,1,618.8
121,429,1,618.8
122,430,1,618.8
123,431,1,618.8
