pack,start,count,est_sec
0,0,43,614.4
1,43,33,600.2
2,76,29,601.7
3,105,27,608.6
4,132,19,632.1
5,151,12,616.1
6,163,11,628.2
7,174,10,625.2
8,184,10,651.0
9,194,9,630.0
10,203,9,656.5
11,212,8,613.1
12,220,8,633.8
13,228,8,654.4
14,236,8,673.9
15,244,7,606.7
16,251,7,617.6
17,258,7,644.8
18,265,7,644.8
19,272,7,675.2
20,279,7,675.2
21,286,5,623.9
22,291,5,718.4
23,296,5,718.4
24,301,5,766.8
25,306,4,671.6
26,310,4,671.6
27,314,4,671.6
28,318,4,717.9
29,322,4,764.3
30,326,4,764.3
31,330,4,764.3
32,334,4,801.9
33,338,3,629.7
34,341,3,629.7
35,344,3,629.7
36,347,3,629.7
37,350,3,647.0
38,353,3,681.5
39,356,3,681.5
40,359,3,681.5
41,362,3,681.5
42,365,3,681.5
43,368,3,729.7
44,371,3,729.7
45,374,3,729.7
46,377,3,729.7
47,380,3,729.7
48,383,3,759.8
49,386,3,774.8
50,389,3,774.8
51,392,3,774.8
52,395,3,774.8
53,398,3,789.0
54,401,3,817.5
55,404,3,817.5
56,407,3,817.5
57,410,3,817.5
58,413,3,817.5
59,416,3,862.0
60,419,3,862.0
61,422,3,862.0
62,425,3,862.0
63,428,3,862.0
64,431,1,287.3
