pack,start,count,est_sec
0,0,68,609.4
1,68,51,612.7
2,119,35,621.0
3,154,20,630.2
4,174,17,616.6
5,191,15,600.2
6,206,14,609.3
7,220,14,646.6
8,234,13,631.1
9,247,12,607.4
10,259,12,635.6
11,271,11,607.6
12,282,10,663.2
13,292,8,660.9
14,300,7,620.1
15,307,7,675.8
16,314,7,689.1
17,321,6,659.2
18,327,6,659.2
19,333,6,691.7
20,339,5,603.4
21,344,5,603.4
22,349,5,623.3
23,354,5,653.1
24,359,5,653.1
25,364,5,662.3
26,369,5,699.3
27,374,5,699.3
28,379,5,699.3
29,384,5,742.5
30,389,5,742.5
31,394,5,742.5
32,399,4,618.6
33,403,4,626.7
34,407,4,626.7
35,411,4,626.7
36,415,4,652.4
37,419,4,660.9
38,423,4,660.9
39,427,4,660.9
40,431,1,165.2
