arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100000
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100001
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100002
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100003
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100004
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100005
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100006
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100007
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100008
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100009
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100010
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100011
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100012
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100013
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100014
M_z010_nc256,32,32.0,256,0.1,0.04,6.0,systematic,37100015
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100016
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100017
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100018
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100019
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100020
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100021
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100022
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100023
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100024
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100025
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100026
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100027
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100028
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100029
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100030
M_z010_nc256,32,32.0,256,0.1,0.055,6.0,systematic,37100031
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100032
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100033
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100034
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100035
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100036
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100037
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100038
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100039
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100040
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100041
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100042
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100043
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100044
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100045
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100046
M_z010_nc256,32,32.0,256,0.1,0.07,6.0,systematic,37100047
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100048
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100049
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100050
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100051
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100052
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100053
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100054
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100055
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100056
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100057
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100058
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100059
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100060
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100061
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100062
M_z010_nc256,32,32.0,256,0.1,0.085,6.0,systematic,37100063
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100064
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100065
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100066
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100067
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100068
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100069
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100070
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100071
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100072
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100073
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100074
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100075
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100076
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100077
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100078
M_z010_nc256,32,32.0,256,0.1,0.1,6.0,systematic,37100079
M_z010_nc256,32,32.0,256,0.1,0.115,6.0,systematic,37100080
M_z010_nc256,32,32.0,256,0.1,0.115,6.0,systematic,37100081
M_z010_nc256,32,32.0,256,0.1,0.115,6.0,systematic,37100082
M_z010_nc256,32,32.0,256,0.1,0.115,6.0,systematic,37100083
M_z010_nc256,32,32.0,256,0.1,0.115,6.0,systematic,37100084
M_z010_nc256,32,32.0,256,0.1,0.115,6.0,systematic,37100085
