pack,start,count,est_sec
0,0,34,607.3
1,34,28,604.7
2,62,25,611.5
3,87,23,611.3
4,110,22,627.4
5,132,16,622.8
6,148,9,602.9
7,157,9,655.1
8,166,8,605.4
9,174,8,646.9
10,182,8,660.7
11,190,7,614.1
12,197,7,628.5
13,204,7,648.4
14,211,7,675.0
15,218,7,681.3
16,225,6,616.0
17,231,6,616.0
18,237,6,633.6
19,243,6,651.2
20,249,6,651.2
21,255,6,679.0
22,261,6,684.6
23,267,6,689.9
24,273,6,716.4
25,279,6,716.4
26,285,5,754.1
27,290,4,791.8
28,294,4,791.8
29,298,4,791.8
30,302,3,619.3
31,305,3,670.3
32,308,3,670.3
33,311,3,670.3
34,314,3,670.3
35,317,3,670.3
36,320,3,739.0
37,323,3,739.0
38,326,3,739.0
39,329,3,739.0
40,332,3,739.0
41,335,3,783.5
42,338,3,805.8
43,341,3,805.8
44,344,3,805.8
45,347,3,805.8
46,350,3,825.1
47,353,3,863.7
48,356,3,863.7
49,359,3,863.7
50,362,3,863.7
51,365,3,863.7
52,368,2,612.0
53,370,2,612.0
54,372,2,612.0
55,374,2,612.0
56,376,2,612.0
57,378,2,612.0
58,380,2,612.0
59,382,2,612.0
60,384,2,646.2
61,386,2,646.2
62,388,2,646.2
63,390,2,646.2
64,392,2,646.2
65,394,2,646.2
66,396,2,646.2
67,398,2,646.2
68,400,2,680.8
69,402,2,680.8
70,404,2,680.8
71,406,2,680.8
72,408,2,680.8
73,410,2,680.8
74,412,2,680.8
75,414,2,680.8
76,416,2,711.6
77,418,2,711.6
78,420,2,711.6
79,422,2,711.6
80,424,2,711.6
81,426,2,711.6
82,428,2,711.6
83,430,2,711.6
